date,festival,kind,venue,tier,evidence,source_url
2023-02-19,Brahmotsavams,same_day_report,other_temple,major,SRINIVASA MANGAPURAM BRAHMOTSAVAM CONCLUDES,https://news.tirumala.org/chakra-snanam-performed-at-skvst-brahmotsavam-_-%e0%b0%b6%e0%b0%be%e0%b0%b8%e0%b1%8d%e0%b0%a4%e0%b1%8d%e0%b0%b0%e0%b1%8b%e0%b0%95%e0%b1%8d%e0%b0%a4%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d-2/
2023-03-03,Teppotsavam,same_day_report,unspecified,minor,TEPPOTSAVAM COMMENCES,https://news.tirumala.org/teppotsavam-commences-_-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80%e0%b0%b5%e0%b0%be%e0%b0%b0%e0%b0%bf-%e0%b0%b8%e0%b0%be%e0%b0%b2%e0%b0%95%e0%b0%9f%e0%b1%8d%e0%b0%b2-%e0%b0%a4%e0%b1%86%e0%b0%aa/
2023-03-04,Teppotsavam,announced_dates,tirumala,minor,ANNUAL TEPPOTSAVAMS IN TIRUMALA FROM MARCH 3-7 _ మార్చి 3 నుండి 7వ తేదీ వరకు తిరుమల శ్రీ‌వారి సాలకట్ల తెప్పోత్సవాలు,https://news.tirumala.org/annual-teppotsavams-in-tirumala-from-march-3-7/
2023-03-05,Teppotsavam,announced_dates,tirumala,minor,ANNUAL TEPPOTSAVAMS IN TIRUMALA FROM MARCH 3-7 _ మార్చి 3 నుండి 7వ తేదీ వరకు తిరుమల శ్రీ‌వారి సాలకట్ల తెప్పోత్సవాలు,https://news.tirumala.org/annual-teppotsavams-in-tirumala-from-march-3-7/
2023-03-06,Teppotsavam,same_day_report,unspecified,minor,TEPPOTSAVAM HELD,https://news.tirumala.org/teppotsavam-held/
2023-03-07,Teppotsavam,same_day_report,unspecified,minor,TEPPOTSAVAM CONCLUDES,https://news.tirumala.org/teppotsavam-concludes-_-%e0%b0%98%e0%b0%a8%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%ae%e0%b1%81%e0%b0%97%e0%b0%bf%e0%b0%b8%e0%b0%bf%e0%b0%a8-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80%e0%b0%b5%e0%b0%be%e0%b0%b0/
2023-03-22,Ugadi,same_day_report,unspecified,major,UGADI FETE OBSERVED IN ALL LOCAL TEMPLES OF TTD _ టీటీడీ ఆలయాల్లో ఘనంగా ఉగాది వేడుకలు,https://news.tirumala.org/ugadi-fete-observed-in-all-local-temples-of-ttd-_-%e0%b0%9f%e0%b1%80%e0%b0%9f%e0%b1%80%e0%b0%a1%e0%b1%80-%e0%b0%86%e0%b0%b2%e0%b0%af%e0%b0%be%e0%b0%b2%e0%b1%8d%e0%b0%b2%e0%b1%8b-%e0%b0%98/
2023-03-30,Sri Rama Navami,same_day_report,tirumala,major,SRI RAMA NAVAMI ASTHANAM PERFORMED IN SRIVARI TEMPLE,https://news.tirumala.org/grand-snapana-tirumanjanam-fete-at-srivari-temple-_-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%b8%e0%b1%80%e0%b0%a4%e0%b0%be/
2023-03-31,Sri Rama Navami,announced_dates,unspecified,major,SRIRAMA NAVAMI UTSAVAMS FROM MARCH 30-APRIL 1,https://news.tirumala.org/srirama-navami-utsavams-from-march-30-april-1/
2023-04-01,Sri Rama Navami,announced_dates,unspecified,major,SRIRAMA NAVAMI UTSAVAMS FROM MARCH 30-APRIL 1,https://news.tirumala.org/srirama-navami-utsavams-from-march-30-april-1/
2023-04-03,Teppotsavam,same_day_report,unspecified,minor,TEPPOTSAVAMS BEGINS,https://news.tirumala.org/teppotsavams-begins-_-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%b6%e0%b1%8d%e0%b0%b0%e0%b1%80-%e0%b0%95%e0%b1%8b%e0%b0%a6%e0%b0%82%e0%b0%a1%e0%b0%b0%e0%b0%be%e0%b0%ae/
2023-04-03,Vasanthotsavam,same_day_report,unspecified,minor,ANNUAL VASANTHOTSAVAM COMMENCES,https://news.tirumala.org/annual-vasanthotsavam-commences/
2023-04-04,Garuda Seva,same_day_report,unspecified,minor,GARUDA SEVA HELD,https://news.tirumala.org/garuda-seva-held-_-%e0%b0%b5%e0%b1%88%e0%b0%ad%e0%b0%b5%e0%b0%82%e0%b0%97%e0%b0%be-%e0%b0%92%e0%b0%82%e0%b0%9f%e0%b0%bf%e0%b0%ae%e0%b0%bf%e0%b0%9f%e0%b1%8d%e0%b0%9f-%e0%b0%b6%e0%b1%8d%e0%b0%b0/
