darshan_date,pilgrims,post_id,post_datetime,date_source,darshan_wait_hours,waiting_compartments,title,link
2018-02-10,48570,55738,2018-02-10 18:37:21,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 27 Compartments / 8 Hours, Specia","About 48,570 pilgrims had Srivari darshan from 3am to 6pm on Feb 10",https://news.tirumala.org/sarva-darshan-free-darshan-27-compartments-8-hours-special-entry-darshan-rs-300-darshan-direct-2/
2018-02-11,48365,55789,2018-02-11 18:41:48,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 28 Compartments / 9 Hours, Specia","About 48,365 pilgrims had Srivari darshan from 3am to 6pm on Feb 11",https://news.tirumala.org/sarva-darshan-free-darshan-28-compartments-9-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-12,46920,55874,2018-02-12 18:35:23,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 19 Compartments / 7 Hours, Specia","About 46,920 pilgrims had Srivari darshan from 3am to 6pm on Feb 12",https://news.tirumala.org/sarva-darshan-free-darshan-19-compartments-7-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-13,43524,55945,2018-02-13 19:36:00,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 24 Compartments / 8 Hours, Specia","About 43,524 pilgrims had Srivari darshan from 3am to 6pm on Feb 13",https://news.tirumala.org/sarva-darshan-free-darshan-24-compartments-8-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-15,39397,56069,2018-02-15 19:04:38,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 9 Compartments / 5 Hours, Special","About 39,397 pilgrims had Srivari darshan from 3am to 6pm on Feb 15",https://news.tirumala.org/sarva-darshan-free-darshan-9-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-16,39455,56100,2018-02-16 18:39:16,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 15 Compartments / 5 Hours, Specia","About 39,455 pilgrims had Srivari darshan from 3am to 6pm on Feb 16",https://news.tirumala.org/about-39455-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-16/
2018-02-17,49265,56139,2018-02-17 19:10:56,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 24 Compartments / 6 Hours, Specia","About 49,265 pilgrims had Srivari darshan from 3am to 6pm on Feb 17",https://news.tirumala.org/about-49265-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-17/
2018-02-18,47894,56179,2018-02-18 20:21:43,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 25 Compartments / 7 Hours, Specia","About 47,894 pilgrims had Srivari darshan from 3am to 6pm on Feb 18",https://news.tirumala.org/sarva-darshan-free-darshan-25-compartments-7-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-19,47535,56215,2018-02-19 18:39:55,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 20 Compartments / 6 Hours, Specia","About 47,535 pilgrims had Srivari darshan from 3am to 6pm on Feb 19",https://news.tirumala.org/about-47535-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-19/
2018-02-20,43719,56217,2018-02-20 18:40:50,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 20 Compartments / 5 Hours, Specia","About 43,719 pilgrims had Srivari darshan from 3am to 6pm on Feb 20",https://news.tirumala.org/sarva-darshan-free-darshan-20-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-21,36126,56229,2018-02-21 18:34:22,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 25 Compartments / 7 Hours, Specia","About 36,126 pilgrims had Srivari darshan from 3am to 6pm on Feb 21",https://news.tirumala.org/sarva-darshan-free-darshan-25-compartments-7-hours-special-entry-darshan-rs-300-darshan-direct-2/
2018-02-22,38072,56247,2018-02-22 18:37:43,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 26 Compartments / 8 Hours, Specia","About 38,072 pilgrims had Srivari darshan from 3am to 6pm on Feb 22",https://news.tirumala.org/sarva-darshan-free-darshan-26-compartments-8-hours-special-entry-darshan-rs-300-darshan-direct-2/
2018-02-23,37878,56322,2018-02-23 18:28:47,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 24 Compartments / 6 Hours, Specia","About 37,878 pilgrims had Srivari darshan from 3am to 6pm on Feb 23",https://news.tirumala.org/about-37878-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-23/
2018-02-24,47386,56318,2018-02-24 18:26:08,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 26 Compartments / 7 Hours, Specia","About 47,386 pilgrims had Srivari darshan from 3am to 6pm on Feb 24",https://news.tirumala.org/about-47386-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-24/
2018-02-25,45985,56320,2018-02-25 18:27:12,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 24 Compartments / 8 Hours, Specia","About 45,985 pilgrims had Srivari darshan from 3am to 6pm on Feb 25",https://news.tirumala.org/about-45985-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-feb-25/
2018-02-26,47637,56352,2018-02-26 18:11:29,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 20 Compartments / 6 Hours, Specia","About 47,637 pilgrims had Srivari darshan from 3am to 6pm on Feb 26",https://news.tirumala.org/sarva-darshan-free-darshan-20-compartments-6-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-27,42157,56417,2018-02-27 18:28:40,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 26 Compartments / 6 Hours, Specia","About 42,157 pilgrims had Srivari darshan from 3am to 6pm on Feb 27",https://news.tirumala.org/sarva-darshan-free-darshan-26-compartments-6-hours-special-entry-darshan-rs-300-darshan-direct/
2018-02-28,38985,56456,2018-02-28 18:34:52,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 16 Compartments / 6 Hours, Specia","About 38,985 pilgrims had Srivari darshan from 3am to 6pm on Feb 28",https://news.tirumala.org/sarva-darshan-free-darshan-16-compartments-6-hours-special-entry-darshan-rs-300-darshan-direct/
2018-03-01,39962,56544,2018-03-01 18:31:50,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 20 Compartments / 7 Hours, Specia","About 39,962 pilgrims had Srivari darshan from 3am to 6pm on March 1",https://news.tirumala.org/about-39962-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-1-2/
2018-03-02,39989,56507,2018-03-02 18:38:33,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 23 Compartments / 6 Hours, Specia","About 39,989 pilgrims had Srivari darshan from 3am to 6pm on March 2",https://news.tirumala.org/about-39962-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-1/
2018-03-03,48960,56550,2018-03-03 18:16:31,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 23 Compartments / 8 Hours, Specia","About 48,960 pilgrims had Srivari darshan from 3am to 6pm on March 3",https://news.tirumala.org/sarva-darshan-free-darshan-23-compartments-8-hours-special-entry-darshan-rs-300-darshan-direct/
2018-03-04,50407,56573,2018-03-04 18:18:43,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 21 Compartments / 6 Hours, Specia","About 50,407 pilgrims had Srivari darshan from 3am to 6pm on March 4",https://news.tirumala.org/about-50407-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-4/
2018-03-05,46354,56602,2018-03-05 18:54:31,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 10 Compartments / 5 Hours, Specia","About 46,354 pilgrims had Srivari darshan from 3am to 6pm on March 5",https://news.tirumala.org/sarva-darshan-free-darshan-10-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
2018-03-06,42562,56616,2018-03-06 18:33:56,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 22 Compartments / 8 Hours, Specia","About 42,562 pilgrims had Srivari darshan from 3am to 6pm on March 6",https://news.tirumala.org/about-42562-pilgrims-had-srivari-darshan-from-3am-to-6pm-on-march-6/
2018-03-07,39507,56633,2018-03-07 18:50:51,month_day_year_inferred@title,,"and waiting hours details - Sarva darshan (free darshan) 14 Compartments / 5 Hours, Specia","About 39,507 pilgrims had Srivari darshan from 3am to 6pm on March 7",https://news.tirumala.org/sarva-darshan-free-darshan-14-compartments-5-hours-special-entry-darshan-rs-300-darshan-direct/
